iter	Passed	Remaining
291	1699	4120
292	1705	4114
293	1710	4106
294	1715	4099
295	1720	4091
296	1726	4087
297	1734	4085
298	1740	4081
299	1747	4078
300	1754	4073
301	1759	4067
302	1765	4060
303	1770	4053
304	1776	4047
305	1782	4041
306	1787	4033
307	1792	4026
308	1798	4021
309	1805	4019
310	1812	4015
311	1819	4011
312	1826	4008
313	1832	4003
314	1838	3997
315	1843	3990
316	1849	3984
317	1854	3977
318	1860	3971
319	1865	3963
320	1871	3958
321	1878	3954
322	1883	3947
323	1888	3940
324	1894	3934
325	1901	3931
326	1908	3927
327	1914	3923
328	1922	3920
329	1929	3917
330	1935	3912
331	1942	3908
332	1950	3905
333	1954	3898
334	1961	3893
335	1967	3888
336	1972	3880
337	1977	3873
338	1982	3865
339	1987	3857
340	1992	3850
341	1997	3842
342	2002	3835
343	2007	3828
344	2013	3823
345	2019	3818
346	2025	3811
347	2031	3805
348	2036	3799
349	2044	3796
350	2050	3791
351	2056	3785
352	2061	3778
353	2067	3773
354	2072	3765
355	2078	3759
356	2083	3752
357	2089	3747
358	2095	3740
359	2099	3733
360	2104	3725
361	2109	3718
362	2114	3710
363	2119	3702
364	2124	3695
365	2129	3689
366	2134	3681
367	2139	3673
368	2145	3668
369	2150	3662
370	2156	3655
371	2161	3649
372	2165	3639
373	2169	3631
374	2174	3624
375	2179	3617
376	2185	3611
377	2190	3604
378	2195	3597
379	2201	3592
380	2206	3585
381	2211	3578
382	2217	3571
383	2222	3564
384	2227	3558
385	2234	3554
386	2242	3551
387	2248	3547
388	2255	3542
389	2261	3537
390	2266	3530
391	2271	3523
392	2277	3518
393	2284	3514
394	2291	3509
395	2296	3502
396	2301	3495
397	2307	3490
398	2314	3485
399	2320	3481
400	2327	3476
401	2333	3471
402	2341	3468
403	2346	3462
404	2352	3455
405	2357	3449
406	2362	3441
407	2367	3434
408	2373	3429
409	2377	3421
410	2383	3416
411	2390	3411
412	2396	3406
413	2404	3402
414	2411	3398
415	2416	3392
416	2421	3385
417	2426	3378
418	2431	3371
419	2436	3364
420	2441	3358
421	2446	3350
422	2451	3343
423	2456	3336
424	2462	3331
425	2468	3326
426	2475	3322
427	2481	3315
428	2486	3309
429	2491	3303
430	2497	3297
431	2502	3290
432	2508	3284
433	2513	3278
434	2519	3271
435	2524	3265
436	2530	3260
437	2536	3255
438	2543	3250
439	2550	3246
440	2556	3239
441	2560	3233
442	2566	3226
443	2572	3221
444	2579	3216
445	2583	3209
446	2589	3203
447	2594	3196
448	2599	3190
449	2604	3183
450	2609	3176
451	2614	3169
452	2618	3162
453	2623	3155
454	2629	3150
455	2636	3144
456	2640	3137
457	2646	3131
458	2650	3124
459	2655	3117
460	2660	3110
461	2665	3103
462	2670	3096
463	2675	3090
464	2680	3083
465	2685	3077
466	2690	3070
467	2695	3063
468	2699	3056
469	2704	3050
470	2710	3043
471	2715	3037
472	2720	3030
473	2725	3024
474	2729	3017
475	2734	3010
476	2741	3005
477	2746	2999
478	2751	2992
479	2756	2986
480	2762	2980
481	2767	2973
482	2772	2967
483	2777	2961
484	2783	2955
485	2789	2950
486	2794	2943
487	2800	2937
488	2805	2931
489	2811	2926
490	2816	2920
491	2822	2914
492	2828	2909
493	2834	2903
494	2840	2897
495	2845	2891
496	2851	2886
497	2857	2880
498	2862	2873
499	2867	2867
500	2872	2860
501	2877	2854
502	2882	2847
503	2886	2840
504	2891	2834
505	2897	2828
506	2902	2822
507	2906	2815
508	2911	2808
509	2915	2801
510	2920	2794
511	2925	2788
512	2930	2781
513	2935	2775
514	2939	2768
515	2944	2761
516	2949	2755
517	2953	2748
518	2958	2741
519	2963	2735
520	2968	2729
521	2973	2722
522	2978	2716
523	2983	2709
524	2988	2703
525	2993	2697
526	2997	2690
527	3002	2684
528	3007	2677
529	3012	2671
530	3017	2665
531	3022	2658
532	3028	2653
533	3034	2647
534	3040	2642
535	3045	2636
536	3050	2629
537	3054	2623
538	3060	2617
539	3065	2611
540	3070	2604
541	3075	2599
542	3081	2593
543	3086	2587
544	3091	2581
545	3097	2575
546	3102	2569
547	3107	2563
548	3113	2557
549	3118	2551
550	3123	2545
551	3128	2539
552	3133	2532
553	3138	2526
554	3143	2520
555	3148	2514
556	3154	2509
557	3169	2510
558	3175	2505
559	3182	2500
560	3189	2496
561	3199	2493
562	3206	2488
563	3212	2483
564	3218	2478
565	3230	2476
566	3238	2473
567	3245	2468
568	3252	2463
569	3257	2457
570	3261	2450
571	3264	2443
572	3268	2436
573	3273	2429
574	3277	2422
575	3282	2416
576	3289	2411
577	3293	2404
578	3298	2398
579	3302	2391
580	3306	2384
581	3309	2377
582	3313	2369
583	3317	2362
584	3321	2356
585	3325	2349
586	3329	2342
587	3333	2335
588	3336	2328
589	3340	2321
590	3344	2314
591	3347	2307
592	3351	2300
593	3355	2293
594	3359	2286
595	3363	2280
596	3367	2273
597	3371	2266
598	3375	2259
599	3379	2252
600	3383	2246
601	3386	2239
602	3391	2232
603	3395	2226
604	3398	2219
605	3402	2212
606	3406	2205
607	3410	2198
608	3414	2192
609	3418	2185
610	3421	2178
611	3425	2171
612	3429	2165
613	3436	2160
614	3440	2153
615	3444	2146
616	3447	2140
617	3451	2133
618	3456	2127
619	3460	2120
620	3464	2114
621	3468	2108
622	3472	2101
623	3476	2094
624	3481	2088
625	3484	2081
626	3488	2075
627	3492	2068
628	3496	2062
629	3501	2056
630	3505	2049
631	3509	2043
632	3512	2036
633	3516	2030
634	3520	2023
635	3524	2017
636	3529	2011
637	3533	2004
638	3536	1998
639	3540	1991
640	3544	1985
641	3547	1978
642	3551	1972
643	3555	1965
644	3559	1959
645	3563	1952
646	3567	1946
647	3571	1939
648	3575	1933
649	3579	1927
650	3583	1920
651	3586	1914
652	3590	1907
653	3594	1901
654	3598	1895
655	3601	1888
656	3605	1882
657	3609	1876
658	3613	1869
659	3617	1863
660	3620	1857
661	3624	1850
662	3628	1844
663	3632	1838
664	3636	1831
665	3640	1825
666	3644	1819
667	3648	1813
668	3652	1806
669	3656	1800
670	3660	1794
671	3664	1788
672	3668	1782
673	3672	1776
674	3675	1769
675	3679	1763
676	3684	1757
677	3688	1751
678	3692	1745
679	3696	1739
680	3701	1733
681	3705	1728
682	3709	1721
683	3713	1715
684	3717	1709
685	3721	1703
686	3725	1697
687	3730	1691
688	3733	1685
689	3737	1679
690	3742	1673
691	3746	1667
692	3750	1661
693	3754	1655
694	3758	1649
695	3762	1643
696	3766	1637
697	3770	1631
698	3774	1625
699	3778	1619
700	3783	1613
701	3787	1607
702	3791	1601
703	3795	1595
704	3799	1589
705	3803	1583
706	3807	1577
707	3811	1571
708	3815	1565
709	3819	1560
710	3823	1554
711	3827	1548
712	3831	1542
713	3835	1536
714	3839	1530
715	3843	1524
716	3847	1518
717	3851	1512
718	3855	1506
719	3859	1501
720	3863	1495
721	3867	1489
722	3871	1483
723	3875	1477
724	3879	1471
725	3883	1465
726	3887	1459
727	3891	1453
728	3895	1448
729	3900	1442
730	3904	1436
731	3908	1430
732	3912	1425
733	3915	1419
734	3920	1413
735	3924	1407
736	3927	1401
737	3931	1395
738	3935	1390
739	3939	1384
740	3943	1378
741	3947	1372
742	3950	1366
743	3954	1360
744	3959	1355
745	3963	1349
746	3967	1343
747	3971	1337
748	3974	1332
749	3978	1326
750	3982	1320
751	3986	1314
752	3990	1308
753	3994	1303
754	3998	1297
755	4002	1291
756	4006	1286
757	4010	1280
758	4014	1274
759	4017	1268
760	4021	1263
761	4026	1257
762	4030	1251
763	4034	1246
764	4038	1240
765	4042	1234
766	4047	1229
767	4052	1224
768	4056	1218
769	4060	1212
770	4065	1207
771	4069	1201
772	4073	1196
773	4078	1190
774	4082	1185
775	4086	1179
776	4090	1174
777	4094	1168
778	4099	1162
779	4104	1157
780	4108	1152
781	4113	1146
782	4117	1141
783	4120	1135
784	4125	1129
785	4129	1124
786	4135	1119
787	4141	1114
788	4148	1109
789	4153	1103
790	4157	1098
791	4161	1092
792	4165	1087
793	4169	1081
794	4173	1076
795	4177	1070
796	4182	1065
797	4185	1059
798	4189	1053
799	4193	1048
800	4197	1042
801	4201	1037
802	4205	1031
803	4209	1026
804	4213	1020
805	4217	1015
806	4221	1009
807	4224	1003
808	4228	998
809	4232	992
810	4235	987
811	4239	981
812	4243	975
813	4246	970
814	4250	964
815	4254	959
816	4259	953
817	4263	948
818	4266	943
819	4270	937
820	4275	932
821	4280	926
822	4284	921
823	4288	915
824	4291	910
825	4295	904
826	4299	899
827	4302	893
828	4306	888
829	4310	882
830	4313	877
831	4317	871
832	4321	866
833	4324	860
834	4328	855
835	4332	849
836	4336	844
837	4340	839
838	4344	833
839	4347	828
840	4351	822
841	4355	817
842	4359	811
843	4363	806
844	4367	801
845	4371	795
846	4375	790
847	4379	785
848	4383	779
849	4387	774
850	4391	768
851	4395	763
852	4398	758
853	4402	752
854	4406	747
855	4410	741
856	4414	736
857	4418	731
858	4422	725
859	4426	720
860	4429	715
861	4433	709
862	4437	704
863	4441	699
864	4445	693
865	4448	688
866	4452	683
867	4456	677
868	4459	672
869	4463	666
870	4467	661
871	4471	656
872	4474	650
873	4478	645
874	4483	640
875	4486	635
876	4490	629
877	4494	624
878	4498	619
879	4502	613
880	4505	608
881	4509	603
882	4513	598
883	4516	592
884	4520	587
885	4523	582
886	4527	576
887	4530	571
888	4534	566
889	4538	560
890	4542	555
891	4546	550
892	4550	545
893	4553	539
894	4557	534
895	4561	529
896	4564	524
897	4568	518
898	4572	513
899	4575	508
900	4579	503
901	4583	498
902	4587	492
903	4590	487
904	4594	482
905	4597	477
906	4601	471
907	4605	466
908	4609	461
909	4613	456
910	4617	451
911	4621	445
912	4624	440
913	4628	435
914	4632	430
915	4636	425
916	4640	419
917	4644	414
918	4648	409
919	4652	404
920	4655	399
921	4659	394
922	4662	388
923	4666	383
924	4670	378
925	4674	373
926	4678	368
927	4681	363
928	4685	358
929	4689	352
930	4693	347
931	4697	342
932	4700	337
933	4704	332
934	4708	327
935	4712	322
936	4715	317
937	4719	311
938	4723	306
939	4727	301
940	4730	296
941	4734	291
942	4737	286
943	4740	281
944	4744	276
945	4748	271
946	4752	265
947	4755	260
948	4759	255
949	4763	250
950	4766	245
951	4770	240
952	4775	235
953	4779	230
954	4783	225
955	4787	220
956	4792	215
957	4796	210
958	4801	205
959	4805	200
960	4810	195
961	4814	190
962	4818	185
963	4822	180
964	4826	175
965	4830	170
966	4834	164
967	4838	159
968	4842	154
969	4846	149
970	4850	144
971	4855	139
972	4859	134
973	4862	129
974	4866	124
975	4870	119
976	4875	114
977	4879	109
978	4883	104
979	4887	99
980	4891	94
981	4895	89
982	4899	84
983	4903	79
984	4907	74
985	4911	69
986	4916	64
987	4921	59
988	4925	54
989	4929	49
990	4933	44
991	4937	39
992	4941	34
993	4945	29
994	4949	24
995	4953	19
996	4957	14
997	4961	9
998	4965	4
999	4970	0
7	5314	10
998	5319	5
999	5324	0
